 ,Label,Area,X,Y,XM,YM
1,video2_AC_twitching_motility.tif:403,0.514,44.074,94.979,44.051,94.969
2,video2_AC_twitching_motility.tif:403,1.243,48.384,113.725,48.383,113.730
3,video2_AC_twitching_motility.tif:1,2.571,85.953,75.555,85.926,75.545
4,video2_AC_twitching_motility.tif:2,0.943,101.223,126.430,101.260,126.420
5,video2_AC_twitching_motility.tif:2,1.028,117.576,125.261,117.642,125.254
6,video2_AC_twitching_motility.tif:2,8.698,135.852,117.425,135.834,117.380
7,video2_AC_twitching_motility.tif:2,137.717,155.591,33.340,155.307,33.486
8,video2_AC_twitching_motility.tif:2,106.523,157.232,45.021,157.047,45.090
9,video2_AC_twitching_motility.tif:2,27.081,167.082,40.037,167.044,40.231
10,video2_AC_twitching_motility.tif:2,16.240,148.497,47.433,148.253,47.485
11,video2_AC_twitching_motility.tif:2,116.121,146.069,59.646,146.091,59.782
12,video2_AC_twitching_motility.tif:2,204.218,152.493,86.765,152.351,86.769
13,video2_AC_twitching_motility.tif:2,157.299,153.206,99.870,152.985,99.697
